t_utc,timestamp,pressure,temp_250,temp_500,temp_1000,temp_absolute
1211774916.0,2008-05-26T04:08:36,        -1.0000,       241.9960,       236.3801,       236.8866,       257.3800
1211774918.0,2008-05-26T04:08:38,        -1.0000,       239.2719,       236.4702,       237.4673,       257.3600
1211774920.0,2008-05-26T04:08:40,        -1.0000,       239.5623,       236.2799,       237.0568,       257.3600
1211774922.0,2008-05-26T04:08:42,        -1.0000,       238.0201,       235.5288,       236.0256,       257.3600
1211774924.0,2008-05-26T04:08:44,        -1.0000,       236.4579,       234.9480,       235.7353,       257.3500
1211774926.0,2008-05-26T04:08:46,        -1.0000,       236.7783,       235.3786,       236.1458,       257.3600
1211774928.0,2008-05-26T04:08:48,        -1.0000,       239.3320,       235.6690,       236.4161,       257.3700
1211774930.0,2008-05-26T04:08:50,        -1.0000,       238.1903,       236.1898,       237.2471,       257.3800
1211774932.0,2008-05-26T04:08:52,        -1.0000,       238.1803,       235.7992,       236.7265,       257.3800
1211774934.0,2008-05-26T04:08:54,        -1.0000,       236.5080,       235.5789,       236.5262,       257.3700
1211774936.0,2008-05-26T04:08:56,        -1.0000,       240.7741,       236.6805,       237.4373,       257.4000
1211774938.0,2008-05-26T04:08:58,        -1.0000,       243.0578,       236.8207,       236.9968,       257.4100
1211774940.0,2008-05-26T04:09:00,        -1.0000,       238.5308,       236.2499,       236.8766,       257.4000
1211774942.0,2008-05-26T04:09:02,        -1.0000,       239.5322,       235.8092,       236.6363,       257.4100
1211774944.0,2008-05-26T04:09:04,        -1.0000,       239.2618,       235.5188,       236.6463,       257.4200
1211774946.0,2008-05-26T04:09:06,        -1.0000,       239.2618,       235.8192,       236.3760,       257.4100
1211774948.0,2008-05-26T04:09:08,        -1.0000,       241.9259,       236.7707,       236.8666,       257.4300
1211774950.0,2008-05-26T04:09:10,        -1.0000,       240.0330,       235.9494,       236.7865,       257.4200
1211774952.0,2008-05-26T04:09:12,        -1.0000,       240.1432,       236.0496,       237.0268,       257.4300
